name,description,background_color,external_url,element,rarity,type,symbol,ommy_reward,collection
Om Domo Genesis Hoodie,El NFT fundacional de Om Domo. Claimable exclusivamente con la compra del Genesis Hoodie físico. Máxima rareza — solo 100 unidades en existencia. Acceso DAO + 5320 OMMY de recompensa.,#1a0a2e,https://web3.omdomo.com,Especial,Genesis,Drop,✦,5320,Om Domo NFT
Om Domo · Aries,El Guerrero del Zodiaco Om Domo. Signo de Fuego — líder nato energía expansiva. NFT Genesis de la colección zodiacal. Incluye acceso a rituales y drops exclusivos para Aries.,#2d0a00,https://web3.omdomo.com/claim-zodiac?zodiac=Aries,Fuego,Genesis,Zodiac,♈,1000,Om Domo Zodiac Collection
Om Domo · Tauro,El Guardián del Zodiaco Om Domo. Signo de Tierra — estabilidad y abundancia. NFT Genesis de la colección zodiacal. Incluye acceso a rituales y drops exclusivos para Tauro.,#0d1a00,https://web3.omdomo.com/claim-zodiac?zodiac=Tauro,Tierra,Genesis,Zodiac,♉,1000,Om Domo Zodiac Collection
Om Domo · Géminis,El Mensajero del Zodiaco Om Domo. Signo de Aire — dualidad e inteligencia. NFT Genesis de la colección zodiacal. Incluye acceso a rituales y drops exclusivos para Géminis.,#001a1a,https://web3.omdomo.com/claim-zodiac?zodiac=Géminis,Aire,Genesis,Zodiac,♊,1000,Om Domo Zodiac Collection
Om Domo · Cáncer,El Guardián Lunar del Zodiaco Om Domo. Signo de Agua — intuición y protección. NFT Genesis de la colección zodiacal. Incluye acceso a rituales y drops exclusivos para Cáncer.,#0a0020,https://web3.omdomo.com/claim-zodiac?zodiac=Cáncer,Agua,Genesis,Zodiac,♋,1000,Om Domo Zodiac Collection
Om Domo · Leo,El Rey Solar del Zodiaco Om Domo. Signo de Fuego — liderazgo y creatividad. NFT Genesis de la colección zodiacal. Incluye acceso a rituales y drops exclusivos para Leo.,#2d0a00,https://web3.omdomo.com/claim-zodiac?zodiac=Leo,Fuego,Genesis,Zodiac,♌,1000,Om Domo Zodiac Collection
Om Domo · Virgo,El Alquimista del Zodiaco Om Domo. Signo de Tierra — perfección y servicio. NFT Genesis de la colección zodiacal. Incluye acceso a rituales y drops exclusivos para Virgo.,#0d1a00,https://web3.omdomo.com/claim-zodiac?zodiac=Virgo,Tierra,Genesis,Zodiac,♍,1000,Om Domo Zodiac Collection
Om Domo · Libra,El Árbitro del Zodiaco Om Domo. Signo de Aire — equilibrio y armonía. NFT Genesis de la colección zodiacal. Incluye acceso a rituales y drops exclusivos para Libra.,#001a1a,https://web3.omdomo.com/claim-zodiac?zodiac=Libra,Aire,Genesis,Zodiac,♎,1000,Om Domo Zodiac Collection
Om Domo · Escorpio,El Místico del Zodiaco Om Domo. Signo de Agua — transformación y poder. NFT Genesis de la colección zodiacal. Incluye acceso a rituales y drops exclusivos para Escorpio.,#0a0020,https://web3.omdomo.com/claim-zodiac?zodiac=Escorpio,Agua,Genesis,Zodiac,♏,1000,Om Domo Zodiac Collection
Om Domo · Sagitario,El Explorador del Zodiaco Om Domo. Signo de Fuego — libertad y expansión. NFT Genesis de la colección zodiacal. Incluye acceso a rituales y drops exclusivos para Sagitario.,#2d0a00,https://web3.omdomo.com/claim-zodiac?zodiac=Sagitario,Fuego,Genesis,Zodiac,♐,1000,Om Domo Zodiac Collection
Om Domo · Capricornio,El Maestro del Zodiaco Om Domo. Signo de Tierra — disciplina y ambición. NFT Genesis de la colección zodiacal. Incluye acceso a rituales y drops exclusivos para Capricornio.,#0d1a00,https://web3.omdomo.com/claim-zodiac?zodiac=Capricornio,Tierra,Genesis,Zodiac,♑,1000,Om Domo Zodiac Collection
Om Domo · Acuario,El Visionario del Zodiaco Om Domo. Signo de Aire — innovación y comunidad. NFT Genesis de la colección zodiacal. Incluye acceso a rituales y drops exclusivos para Acuario.,#001a1a,https://web3.omdomo.com/claim-zodiac?zodiac=Acuario,Aire,Genesis,Zodiac,♒,1000,Om Domo Zodiac Collection
Om Domo · Piscis,El Soñador del Zodiaco Om Domo. Signo de Agua — espiritualidad y compasión. NFT Genesis de la colección zodiacal. Incluye acceso a rituales y drops exclusivos para Piscis.,#0a0020,https://web3.omdomo.com/claim-zodiac?zodiac=Piscis,Agua,Genesis,Zodiac,♓,1000,Om Domo Zodiac Collection
